1. Stairway To Heaven	Stairway to Heaven
654. Rebel Rebel	Rebel Rebel
655. China Cat Sunflower/I Know You Rider	China Cat Sunflower / I Know You Rider
656. Jack & Diane	Jack & Diane
657. Under The Bridge	Under the Bridge
658. Do It Again	Do It Again
659. Paperback Writer	Paperback Writer
660. Bungle In The Jungle	Bungle in the Jungle
661. The Logical Song	The Logical Song
662. Get Off My Cloud	Get Off Of My Cloud
663. Theme From An Imaginary Western	Theme for an Imaginary Western
664. Good Times Bad Times	Good Times Bad Times
665. New York, New York	Theme From New York, New York
666. Let My Love Open The Door	Let My Love Open The Door
667. Little Guitars	Little Guitars
668. Don't Stand So Close To Me	Don't Stand So Close To Me
669. You May Be Right	You May Be Right
670. Dream Police	Dream Police
671. Spill The Wine	Spill The Wine
672. Forever Man	Forever Man
673. The Boys Are Back In Town	The Boys Are Back In Town
674. Pump It Up	Pump It Up
675. Long Distance Runaround-The Fish	Long Distance Runaround
676. Penny Lane	Penny Lane
677. Misunderstanding	Misunderstanding
678. Burning For You	Burnin' for You
679. (Just Like) Starting Over	(Just Like) Starting Over
680. Lonely Is The Night	Lonely Is The Night
681. Lady	Lady
682. Spirits In The Material World	Spirits In The Material World
683. Jet Airliner	Jet Airliner
684. Late In The Evening	Late in the Evening
685. Lights	Lights
686. Madman Across The Water	Madman Across The Water
687. Mr. Crowley	Mr. Crowley
688. Rock And Roll Music	Rock And Roll Music
689. Victim Of Love	Victim of Love
690. Don’t You (Forget About Me)	Don't You (Forget About Me)
691. We’ll Be Together	We'll Be Together
692. Cross-Town Traffic	Crosstown Traffic
693. I Still Haven’t Found What I’m Looking For	I Still Haven't Found What I'm Looking For
694. Magic Man	Magic Man
695. Sweet Jane	Sweet Jane
696. Long Live Rock	Long Live Rock
697. You Never Give Me Your Money	You Never Give Me Your Money
